step,ppl,att_pct,dead_pct,norms_mu,cos_drift,frob_drift,r95,lr
200,46.83,24.64,0.00,0.97,1.0000,0.0297,754,1.00e-04
400,48.53,24.65,0.00,0.97,1.0000,0.0415,754,1.00e-04
600,48.08,24.65,0.00,0.97,1.0000,0.0450,754,1.00e-04
800,48.24,24.65,0.00,0.97,1.0000,0.0444,754,1.00e-04
1000,48.09,24.65,0.00,0.97,1.0000,0.0472,754,1.00e-04
1200,48.12,24.65,0.00,0.97,1.0000,0.0493,754,1.00e-04
1400,48.17,24.65,0.00,0.97,1.0000,0.0504,754,1.00e-04
1600,48.25,24.65,0.00,0.97,1.0000,0.0529,754,1.00e-04
1800,48.11,24.65,0.00,0.97,1.0000,0.0565,754,1.00e-04
2000,48.18,24.66,0.00,0.97,1.0000,0.0559,754,1.00e-04
2200,47.95,24.66,0.00,0.97,1.0000,0.0567,754,1.00e-04
2400,47.99,24.66,0.00,0.97,1.0000,0.0595,754,1.00e-04
2600,47.96,24.66,0.00,0.97,1.0000,0.0584,754,1.00e-04
2800,47.95,24.66,0.00,0.97,1.0000,0.0561,754,1.00e-04
3000,47.99,24.66,0.00,0.97,1.0000,0.0582,754,1.00e-04
3200,47.98,24.66,0.00,0.97,1.0000,0.0606,754,1.00e-04
3400,48.00,24.66,0.00,0.97,1.0000,0.0578,754,1.00e-04
3600,47.91,24.66,0.00,0.97,1.0000,0.0554,754,1.00e-04
3800,47.93,24.66,0.00,0.97,1.0000,0.0592,754,1.00e-04
4000,47.91,24.66,0.00,0.97,1.0000,0.0563,754,1.00e-04
4200,47.86,24.67,0.00,0.97,1.0000,0.0577,754,1.00e-04
4400,47.88,24.67,0.00,0.97,1.0000,0.0576,754,1.00e-04
