epoch,step,ppl,loss,lr,route_ent,exp_sim,gate_avg,grad_norm,conv_rate,aux_loss,cap_rate,gate_ratio
1,3400,4826.7,8.46,1.00e-04,1.3597,0.8093,0.5003,0.7439,0.0000,0.500629,0.0000,2.0062
1,3600,4828.7,8.47,1.00e-04,1.3732,0.8229,0.5003,0.8379,0.0000,0.501046,0.0000,2.0451
1,3800,4828.4,8.41,1.00e-04,1.3626,0.8194,0.5003,0.7480,0.0000,0.500538,0.0000,2.0250
1,4000,4827.6,8.40,1.00e-04,1.3619,0.8157,0.5004,0.8201,0.0000,0.502062,0.0000,1.9986
1,200,4726.0,8.37,1.00e-04,1.2402,0.8241,0.4999,0.9666,0.0000,0.493162,0.0000,9.7363
1,400,4692.0,8.47,1.00e-04,1.3481,0.7112,0.4998,1.0212,0.0000,0.480622,0.0000,3.7713
1,600,4672.9,8.46,1.00e-04,1.3528,0.6837,0.4996,1.2152,0.0000,0.472265,0.0000,2.2780
1,800,4642.1,8.43,1.00e-04,1.3658,0.6789,0.4995,1.2412,0.0000,0.453568,0.0000,1.9264
1,1000,4592.8,8.32,1.00e-04,1.3741,0.6279,0.4993,1.3262,0.0000,0.431765,0.0000,1.7684
1,1200,4545.2,8.54,1.00e-04,1.3800,0.5790,0.4990,1.4575,0.0000,0.417488,0.0000,1.7722
1,1400,4494.0,8.19,1.00e-04,1.3704,0.5101,0.4988,1.6291,0.0000,0.388741,0.0000,1.7245
1,1600,4439.5,8.37,1.00e-04,1.3811,0.4531,0.4986,1.6078,0.0000,0.365994,0.0000,1.7448
1,1800,4371.2,8.29,1.00e-04,1.3811,0.4084,0.4985,1.8832,0.0000,0.356099,0.0000,1.6973
1,2000,4312.1,8.22,1.00e-04,1.3776,0.4205,0.4984,1.8218,0.0000,0.350612,0.0000,1.7306
1,2200,4269.4,8.23,1.00e-04,1.3754,0.4184,0.4983,1.8619,0.0000,0.320763,0.0000,1.7241
1,2400,4227.2,8.32,1.00e-04,1.3776,0.4197,0.4982,1.9396,0.0000,0.288566,0.0000,1.7215
1,2600,4188.9,8.13,1.00e-04,1.3788,0.4220,0.4981,1.9076,0.0000,0.275093,0.0000,1.6950
1,2800,4151.6,8.20,1.00e-04,1.3675,0.4079,0.4980,1.8720,0.0000,0.268177,0.0000,1.7072
1,3000,4113.1,8.14,1.00e-04,1.3805,0.4207,0.4979,1.9575,0.0000,0.237008,0.0000,1.6814
1,3200,4077.4,8.09,1.00e-04,1.3792,0.4210,0.4978,1.9212,0.0000,0.232018,0.0000,1.6730
1,3400,4044.5,8.14,1.00e-04,1.3811,0.4211,0.4978,2.0840,0.0000,0.225348,0.0000,1.6891
1,3600,4012.1,8.15,1.00e-04,1.3777,0.4177,0.4977,2.1708,0.0000,0.207879,0.0000,1.7176
1,3800,3978.8,8.07,1.00e-04,1.3779,0.4269,0.4976,2.0571,0.0000,0.188368,0.0000,1.6802
1,4000,3945.7,8.03,1.00e-04,1.3813,0.4132,0.4976,2.0697,0.0000,0.167521,0.0000,1.6642
1,4200,3922.1,8.22,1.00e-04,1.3707,0.4366,0.4976,1.6612,0.0000,0.142904,0.0000,1.6639
1,4400,3897.8,8.12,1.00e-04,1.3789,0.4157,0.4976,1.6387,0.0000,0.111712,0.0000,1.6613
1,4600,3871.6,8.11,1.00e-04,1.3777,0.4413,0.4976,1.6589,0.0000,0.143723,0.0000,1.6802
1,4800,3845.1,8.13,1.00e-04,1.3776,0.4329,0.4975,1.7018,0.0000,0.111381,0.0000,1.6575
1,5000,3818.7,7.81,1.00e-04,1.3749,0.4274,0.4975,1.7301,0.0000,0.081514,0.0000,1.6534
1,5200,3793.3,8.18,1.00e-04,1.3763,0.4612,0.4975,1.6277,0.0000,0.072335,0.0000,1.6957
1,5400,3765.7,8.05,1.00e-04,1.3674,0.4481,0.4975,1.6390,0.0000,0.040855,0.0000,1.6505
1,5600,3739.8,8.10,1.00e-04,1.3801,0.4426,0.4974,1.6152,0.0000,0.038105,0.0000,1.6786
1,5800,3713.9,7.96,1.00e-04,1.3795,0.4486,0.4974,1.6920,0.0000,0.044445,0.0000,1.6708
1,6000,3687.9,8.01,1.00e-04,1.3768,0.4293,0.4974,1.6445,0.0000,0.018522,0.0000,1.6592
1,6200,3660.0,7.95,1.00e-04,1.3699,0.4433,0.4973,1.6828,0.0000,-0.036242,0.0000,1.6892
1,6400,3633.2,8.01,1.00e-04,1.3784,0.4496,0.4973,1.5792,0.0000,-0.045349,0.0000,1.6581
1,6600,3606.0,7.97,1.00e-04,1.3812,0.4474,0.4972,1.7624,0.0000,-0.061882,0.0000,1.6789
1,6800,3578.6,8.03,1.00e-04,1.3786,0.4546,0.4972,1.7159,0.0000,-0.092809,0.0000,1.6837
1,200,4819.1,8.37,1.00e-04,1.3714,0.3005,0.4973,1.7957,0.0000,0.521790,0.0000,1.7406
1,400,4767.1,8.46,1.00e-04,1.3615,0.3327,0.4973,1.6838,0.0000,0.513936,0.0000,1.8708
1,600,4716.3,8.44,1.00e-04,1.3724,0.3253,0.4973,1.7099,0.0000,0.509469,0.0000,2.0191
1,800,4660.4,8.46,1.00e-04,1.3380,0.3265,0.4973,1.4887,0.0000,0.517789,0.0000,2.0930
1,1000,4603.9,8.35,1.00e-04,1.3212,0.3339,0.4972,1.6258,0.0000,0.514387,0.0000,2.2660
1,1200,4557.5,8.57,1.00e-04,1.3314,0.3392,0.4971,1.7565,0.0000,0.508018,0.0000,2.1888
1,1400,4520.3,8.27,1.00e-04,1.2436,0.3226,0.4971,1.5552,0.0000,0.511012,0.0000,2.3338
1,1600,4488.7,8.43,1.00e-04,1.2183,0.3135,0.4970,1.6962,0.0000,0.517451,0.0000,2.5003
