epoch,step,ppl,loss,lr,route_ent,exp_sim,gate_avg,grad_norm,conv_rate,aux_loss,cap_rate,gate_ratio
1,200,61980.4,9.53,4.00e-05,1.3341,0.0345,0.4999,4.5891,0.0000,0.591990,0.0000,3.3124
1,400,23125.3,8.84,8.00e-05,1.3356,0.0444,0.4999,2.9833,0.0000,0.495176,0.0000,2.1495
1,600,15117.0,8.68,1.00e-04,1.3639,0.0774,0.4999,1.9028,0.0000,0.427785,0.0000,1.7549
1,800,11842.5,8.54,1.00e-04,1.3777,0.2445,0.4999,1.4361,0.0000,0.378968,0.0000,1.6773
1,1000,10009.0,8.41,1.00e-04,1.3809,0.3739,0.4999,1.3558,0.0000,0.338220,0.0000,1.6605
1,1200,8844.9,8.50,1.00e-04,1.3801,0.4655,0.4999,1.2627,0.0000,0.305119,0.0000,1.6477
1,1400,8034.7,8.20,1.00e-04,1.3754,0.4782,0.4999,1.0468,0.0000,0.268178,0.0000,1.6423
1,1600,7423.1,8.23,1.00e-04,1.3718,0.4829,0.4999,1.0484,0.0000,0.236609,0.0000,1.6831
1,1800,6934.0,8.28,1.00e-04,1.3687,0.4786,0.4999,1.0584,0.0000,0.204325,0.0000,1.8092
1,2000,6545.1,8.34,1.00e-04,1.3660,0.4820,0.4999,1.0139,0.0000,0.184614,0.0000,2.1479
2,2200,3812.9,8.24,1.00e-04,1.3645,0.4916,0.4999,0.9534,0.0000,0.185195,0.0000,2.1531
2,2400,3789.0,8.13,1.00e-04,1.3694,0.4959,0.4999,0.8995,0.0000,0.184464,0.0000,2.1625
2,2600,3775.1,8.10,1.00e-04,1.3666,0.4986,0.4999,0.9417,0.0000,0.184386,0.0000,2.1502
2,2800,3770.5,8.19,1.00e-04,1.3733,0.5029,0.4999,0.9588,0.0000,0.185970,0.0000,2.1972
2,3000,3765.4,8.22,1.00e-04,1.3643,0.4926,0.4999,0.8701,0.0000,0.184505,0.0000,2.1391
2,3200,3757.1,8.21,1.00e-04,1.3761,0.4966,0.4999,0.8693,0.0000,0.184867,0.0000,2.2048
2,3400,3751.4,8.22,1.00e-04,1.3681,0.4890,0.4999,0.8800,0.0000,0.185785,0.0000,2.2187
2,3600,3747.7,8.25,1.00e-04,1.3674,0.4879,0.4999,0.9256,0.0000,0.184903,0.0000,2.1863
2,3800,3743.9,8.12,1.00e-04,1.3700,0.4862,0.4999,0.8829,0.0000,0.185193,0.0000,2.2143
2,4000,3739.3,8.13,1.00e-04,1.3663,0.4859,0.4999,0.8984,0.0000,0.184847,0.0000,2.1710
3,4200,3680.6,8.22,1.00e-04,1.3657,0.4829,0.4999,0.9694,0.0000,0.185122,0.0000,2.1767
3,4400,3661.7,8.06,1.00e-04,1.3666,0.4828,0.4999,0.9306,0.0000,0.184553,0.0000,2.1550
3,4600,3667.5,8.16,1.00e-04,1.3716,0.4815,0.4999,0.9564,0.0000,0.184407,0.0000,2.1688
3,4800,3673.4,8.16,1.00e-04,1.3647,0.4790,0.4999,0.9620,0.0000,0.185130,0.0000,2.2091
3,5000,3681.1,8.04,1.00e-04,1.3748,0.4797,0.4999,0.9285,0.0000,0.184866,0.0000,2.1776
3,5200,3679.6,8.29,1.00e-04,1.3618,0.4805,0.4999,0.9019,0.0000,0.185221,0.0000,2.1722
