step,ppl,att_pct,dead_pct,norms_mu,cos_drift,frob_drift,r95,lr
14600,67.51,24.18,0.00,1.07,0.9995,0.3610,755,1.00e-04
14800,67.38,24.17,0.00,1.07,0.9995,0.3656,754,1.00e-04
15000,67.27,24.17,0.00,1.07,0.9995,0.3631,754,1.00e-04
15200,67.11,24.17,0.00,1.07,0.9995,0.3634,754,1.00e-04
15400,67.02,24.16,0.00,1.07,0.9995,0.3671,754,1.00e-04
15600,66.88,24.16,0.00,1.07,0.9995,0.3633,754,1.00e-04
15800,66.77,24.16,0.00,1.07,0.9995,0.3642,754,1.00e-04
16000,66.66,24.15,0.00,1.07,0.9995,0.3681,754,1.00e-04
16200,66.56,24.15,0.00,1.07,0.9995,0.3653,754,1.00e-04
16400,66.46,24.15,0.00,1.07,0.9995,0.3647,754,1.00e-04
16600,66.32,24.14,0.00,1.07,0.9995,0.3604,754,1.00e-04
16800,66.20,24.14,0.00,1.07,0.9995,0.3609,754,1.00e-04
17000,66.08,24.14,0.00,1.07,0.9995,0.3660,754,1.00e-04
17200,65.99,24.14,0.00,1.07,0.9995,0.3595,754,1.00e-04
17400,65.85,24.13,0.00,1.07,0.9995,0.3613,754,1.00e-04
17600,65.78,24.13,0.00,1.07,0.9995,0.3592,754,1.00e-04
17800,65.68,24.13,0.00,1.07,0.9995,0.3603,754,1.00e-04
18000,65.59,24.12,0.00,1.07,0.9995,0.3642,754,1.00e-04
18200,65.48,24.12,0.00,1.07,0.9995,0.3586,754,1.00e-04
18400,65.36,24.12,0.00,1.07,0.9995,0.3570,754,1.00e-04
18600,65.29,24.12,0.00,1.07,0.9995,0.3601,754,1.00e-04
18800,65.18,24.11,0.00,1.07,0.9995,0.3594,754,1.00e-04
19000,65.11,24.11,0.00,1.07,0.9995,0.3582,754,1.00e-04
19200,65.04,24.11,0.00,1.07,0.9995,0.3610,754,1.00e-04
19400,64.92,24.11,0.00,1.07,0.9995,0.3575,754,1.00e-04
19600,64.83,24.10,0.00,1.07,0.9995,0.3563,754,1.00e-04
19800,64.76,24.10,0.00,1.07,0.9995,0.3609,754,1.00e-04
20000,64.65,24.10,0.00,1.07,0.9995,0.3580,754,1.00e-04
20200,64.55,24.10,0.00,1.07,0.9995,0.3560,754,1.00e-04
20400,64.47,24.10,0.00,1.07,0.9995,0.3626,754,1.00e-04
20600,64.38,24.09,0.00,1.07,0.9995,0.3621,754,1.00e-04
20800,64.30,24.09,0.00,1.07,0.9995,0.3612,754,1.00e-04
21000,64.22,24.09,0.00,1.07,0.9995,0.3626,754,1.00e-04
21200,64.14,24.09,0.00,1.07,0.9995,0.3644,754,1.00e-04
21400,64.07,24.09,0.00,1.07,0.9995,0.3617,754,1.00e-04
21600,64.02,24.09,0.00,1.07,0.9995,0.3675,754,1.00e-04
21800,63.93,24.08,0.00,1.07,0.9995,0.3632,754,1.00e-04
22000,63.83,24.08,0.00,1.07,0.9995,0.3652,754,1.00e-04
22200,63.76,24.08,0.00,1.06,0.9995,0.3627,754,1.00e-04
22400,63.68,24.08,0.00,1.06,0.9995,0.3674,754,1.00e-04
22600,63.60,24.08,0.00,1.06,0.9995,0.3663,754,1.00e-04
22800,63.51,24.08,0.00,1.06,0.9995,0.3658,754,1.00e-04
23000,63.43,24.08,0.00,1.06,0.9995,0.3673,754,1.00e-04
23200,63.35,24.08,0.00,1.06,0.9995,0.3663,754,1.00e-04
23400,63.26,24.07,0.00,1.06,0.9995,0.3663,754,1.00e-04
23600,63.18,24.07,0.00,1.06,0.9995,0.3688,754,1.00e-04
23800,63.12,24.07,0.00,1.06,0.9995,0.3708,754,1.00e-04
24000,63.05,24.07,0.00,1.06,0.9995,0.3750,754,1.00e-04
24200,62.96,24.07,0.00,1.06,0.9994,0.3776,754,1.00e-04
24400,62.87,24.07,0.00,1.06,0.9994,0.3771,754,1.00e-04
24600,62.82,24.07,0.00,1.06,0.9994,0.3809,754,1.00e-04
24800,62.76,24.07,0.00,1.06,0.9994,0.3844,754,1.00e-04
25000,62.68,24.07,0.00,1.06,0.9994,0.3837,754,1.00e-04
25200,62.61,24.07,0.00,1.06,0.9994,0.3833,754,1.00e-04
25400,62.54,24.07,0.00,1.06,0.9994,0.3901,754,1.00e-04
25600,62.46,24.07,0.00,1.06,0.9994,0.3851,754,1.00e-04
25800,62.39,24.07,0.00,1.06,0.9994,0.3869,754,1.00e-04
26000,62.33,24.07,0.00,1.06,0.9994,0.3911,754,1.00e-04
26200,62.28,24.07,0.00,1.06,0.9994,0.3906,754,1.00e-04
26400,62.22,24.06,0.00,1.06,0.9994,0.3915,754,1.00e-04
26600,62.17,24.06,0.00,1.06,0.9994,0.3960,754,1.00e-04
26800,62.11,24.06,0.00,1.06,0.9994,0.3941,754,1.00e-04
27000,62.05,24.06,0.00,1.06,0.9994,0.3924,754,1.00e-04
27200,61.98,24.06,0.00,1.06,0.9994,0.3894,754,1.00e-04
27400,61.93,24.06,0.00,1.06,0.9994,0.3907,754,1.00e-04
27600,61.86,24.06,0.00,1.06,0.9994,0.3928,754,1.00e-04
27800,61.80,24.06,0.00,1.06,0.9994,0.3935,754,1.00e-04
28000,61.74,24.06,0.00,1.06,0.9994,0.3941,754,1.00e-04
28200,61.70,24.06,0.00,1.06,0.9994,0.3904,754,1.00e-04
28400,61.65,24.06,0.00,1.06,0.9994,0.3889,754,1.00e-04
28600,61.60,24.06,0.00,1.06,0.9994,0.3926,754,1.00e-04
28800,61.53,24.06,0.00,1.06,0.9994,0.3909,754,1.00e-04
29000,61.47,24.06,0.00,1.06,0.9994,0.3898,754,1.00e-04
29200,61.41,24.06,0.00,1.06,0.9994,0.3907,754,1.00e-04
29400,61.36,24.06,0.00,1.06,0.9994,0.3885,754,1.00e-04
29600,61.32,24.06,0.00,1.06,0.9994,0.3886,754,1.00e-04
29800,61.26,24.06,0.00,1.06,0.9994,0.3914,754,1.00e-04
30000,61.25,24.05,0.00,1.06,0.9994,0.3971,754,1.00e-04
30200,61.20,24.05,0.00,1.06,0.9994,0.3907,754,1.00e-04
30400,61.15,24.05,0.00,1.06,0.9994,0.3914,754,1.00e-04
30600,61.11,24.05,0.00,1.06,0.9994,0.3947,754,1.00e-04
30800,61.05,24.05,0.00,1.06,0.9994,0.3904,754,1.00e-04
31000,61.00,24.05,0.00,1.06,0.9994,0.3860,754,1.00e-04
31200,60.96,24.05,0.00,1.06,0.9994,0.3904,754,1.00e-04
31400,60.92,24.05,0.00,1.06,0.9993,0.3930,754,1.00e-04
31600,60.88,24.05,0.00,1.05,0.9993,0.3927,754,1.00e-04
31800,60.83,24.05,0.00,1.05,0.9993,0.3938,754,1.00e-04
32000,60.77,24.05,0.00,1.05,0.9993,0.3931,754,1.00e-04
32200,60.73,24.05,0.00,1.05,0.9993,0.3892,754,1.00e-04
32400,60.68,24.05,0.00,1.05,0.9993,0.3901,754,1.00e-04
32600,60.64,24.05,0.00,1.05,0.9993,0.3935,754,1.00e-04
32800,60.59,24.05,0.00,1.05,0.9993,0.3937,754,1.00e-04
33000,60.54,24.05,0.00,1.05,0.9993,0.3935,754,1.00e-04
33200,60.50,24.05,0.00,1.05,0.9993,0.3930,754,1.00e-04
33400,60.45,24.05,0.00,1.05,0.9993,0.3964,754,1.00e-04
33600,60.39,24.05,0.00,1.05,0.9993,0.3955,754,1.00e-04
33800,60.35,24.05,0.00,1.05,0.9993,0.3976,754,1.00e-04
34000,60.30,24.05,0.00,1.05,0.9993,0.3952,754,1.00e-04
34200,60.27,24.05,0.00,1.05,0.9993,0.4002,754,1.00e-04
34400,60.22,24.05,0.00,1.05,0.9993,0.3989,754,1.00e-04
34600,60.18,24.05,0.00,1.05,0.9993,0.3989,754,1.00e-04
34800,60.14,24.05,0.00,1.05,0.9993,0.4001,754,1.00e-04
35000,60.11,24.05,0.00,1.05,0.9993,0.3989,754,1.00e-04
35200,60.05,24.05,0.00,1.05,0.9993,0.3957,754,1.00e-04
35400,60.00,24.05,0.00,1.05,0.9993,0.3949,754,1.00e-04
35600,59.96,24.05,0.00,1.05,0.9993,0.3941,754,1.00e-04
35800,59.93,24.05,0.00,1.05,0.9993,0.3960,754,1.00e-04
36000,59.88,24.05,0.00,1.05,0.9993,0.3984,754,1.00e-04
36200,59.84,24.05,0.00,1.05,0.9993,0.4023,754,1.00e-04
