step,ppl,att_pct,dead_pct,norms_mu,cos_drift,frob_drift,r95,lr
200,5.28,24.63,0.00,0.96,1.0000,0.0356,753,1.00e-04
400,5.16,24.64,0.00,0.96,1.0000,0.0515,753,1.00e-04
600,5.19,24.65,0.00,0.96,1.0000,0.0600,753,1.00e-04
800,5.19,24.66,0.00,0.96,1.0000,0.0753,753,1.00e-04
1000,5.20,24.67,0.00,0.96,1.0000,0.0850,753,1.00e-04
1200,5.15,24.68,0.00,0.96,0.9999,0.0932,753,1.00e-04
1400,5.15,24.69,0.00,0.96,0.9999,0.1000,753,1.00e-04
1600,5.13,24.70,0.00,0.95,0.9999,0.1107,753,1.00e-04
1800,5.14,24.71,0.00,0.95,0.9999,0.1166,753,1.00e-04
2000,5.10,24.72,0.00,0.95,0.9999,0.1233,753,1.00e-04
2200,5.07,24.73,0.00,0.95,0.9999,0.1303,753,1.00e-04
2400,5.03,24.74,0.00,0.95,0.9999,0.1351,753,1.00e-04
2600,5.04,24.75,0.00,0.95,0.9999,0.1412,753,1.00e-04
2800,5.06,24.76,0.00,0.95,0.9999,0.1429,753,1.00e-04
3000,5.04,24.77,0.00,0.95,0.9999,0.1443,753,1.00e-04
3200,5.04,24.78,0.00,0.95,0.9999,0.1463,753,1.00e-04
3400,5.04,24.79,0.00,0.95,0.9999,0.1506,753,1.00e-04
3600,5.05,24.80,0.00,0.95,0.9999,0.1488,753,1.00e-04
3800,5.05,24.81,0.00,0.95,0.9999,0.1501,753,1.00e-04
4000,5.05,24.82,0.00,0.95,0.9999,0.1529,753,1.00e-04
4200,5.03,24.83,0.00,0.95,0.9999,0.1536,753,1.00e-04
