epoch,step,ppl,loss,lr
1,26600,1930.8,7.60,1.00e-04
1,26800,1929.8,7.50,1.00e-04
1,27000,1929.1,7.46,1.00e-04
1,27200,1928.2,7.48,1.00e-04
1,27400,1927.4,7.64,1.00e-04
1,27600,1926.7,7.24,1.00e-04
1,27800,1926.0,7.60,1.00e-04
1,28000,1925.1,7.65,1.00e-04
1,28200,1924.5,7.56,1.00e-04
1,28400,1923.7,7.46,1.00e-04
1,28600,1923.0,7.52,1.00e-04
1,28800,1922.3,7.49,1.00e-04
1,29000,1921.6,7.34,1.00e-04
1,29200,1920.8,7.55,1.00e-04
1,29400,1920.1,7.52,1.00e-04
1,29600,1919.4,7.11,1.00e-04
1,29800,1918.6,7.64,1.00e-04
1,30000,1917.9,7.75,1.00e-04
1,30200,1917.1,7.31,1.00e-04
1,30400,1916.4,7.60,1.00e-04
1,30600,1915.7,7.53,1.00e-04
1,30800,1915.1,7.46,1.00e-04
1,31000,1914.5,7.70,1.00e-04
1,31200,1913.8,7.60,1.00e-04
1,31400,1913.3,7.31,1.00e-04
1,31600,1912.6,7.45,1.00e-04
1,31800,1911.9,7.75,1.00e-04
1,32000,1911.6,7.43,1.00e-04
1,32200,1910.8,7.60,1.00e-04
1,32400,1910.2,7.36,1.00e-04
1,32600,1909.6,7.44,1.00e-04
1,32800,1909.1,7.65,1.00e-04
1,33000,1908.5,7.43,1.00e-04
1,33200,1907.9,7.39,1.00e-04
1,33400,1907.1,7.58,1.00e-04
1,33600,1906.6,7.78,1.00e-04
1,33800,1905.8,7.63,1.00e-04
1,34000,1905.4,7.34,1.00e-04
1,34200,1904.8,7.45,1.00e-04
1,34400,1904.3,7.58,1.00e-04
1,34600,1903.8,7.56,1.00e-04
1,34800,1903.3,7.44,1.00e-04
1,35000,1902.7,7.74,1.00e-04
1,35200,1902.3,7.55,1.00e-04
1,35400,1901.7,7.64,1.00e-04
1,35600,1901.1,7.23,1.00e-04
1,35800,1900.7,7.43,1.00e-04
1,36000,1900.2,7.44,1.00e-04
