step,ppl,loss,lr,grad_norm,aux_loss,route_ent,exp_sim,val_ppl
142500,5.1,1.63,1.61e-04,14.1274,0.172027,0.2854,0.0000,4.3
144000,5.1,1.63,1.57e-04,15.2931,0.170979,0.3105,0.0000,4.3
145500,5.1,1.63,1.53e-04,17.2930,0.174400,0.2324,0.0000,4.3
147000,5.1,1.60,1.48e-04,14.5010,0.150681,0.3442,0.0000,4.3
148500,5.1,1.70,1.44e-04,24.2764,0.250655,0.2218,0.0000,4.3
150000,5.1,1.61,1.39e-04,23.7588,0.165329,0.3335,0.0000,4.3
151500,5.1,1.57,1.34e-04,13.1823,0.123677,0.5149,0.0000,4.3
153000,5.1,1.57,1.29e-04,16.4197,0.121250,0.7107,0.0000,4.3
154500,5.1,1.58,1.24e-04,14.1703,0.123925,0.5656,0.0000,4.3
156000,5.1,1.60,1.19e-04,24.0932,0.150965,0.3307,0.0000,4.3
157500,5.1,1.57,1.14e-04,17.8956,0.115201,0.6410,0.0000,4.3
159000,5.1,1.57,1.09e-04,17.3638,0.113363,0.5817,0.0000,4.3
160500,5.1,1.56,1.04e-04,13.3215,0.112946,0.6998,0.0000,4.3
162000,5.1,1.56,9.86e-05,14.2305,0.111379,0.6853,0.0000,4.3
163500,5.1,1.57,9.35e-05,16.6751,0.117413,0.6707,0.0000,4.3
165000,5.1,1.57,8.85e-05,17.8824,0.114230,0.6747,0.0000,4.3
166500,5.1,1.56,8.35e-05,11.3355,0.107999,0.7134,0.0000,4.3
168000,5.1,1.57,7.85e-05,23.3153,0.118806,0.5110,0.0000,4.3
169500,5.1,1.56,7.37e-05,21.4711,0.119976,0.6115,0.0000,4.3
171000,5.1,1.54,6.89e-05,11.3104,0.090472,1.3225,0.0000,4.3
172500,5.1,1.55,6.42e-05,18.5644,0.099898,1.0016,0.0000,4.3
174000,5.1,1.54,5.97e-05,17.4477,0.095102,1.1053,0.0000,4.3
175500,5.1,1.55,5.52e-05,16.8137,0.105726,0.7863,0.0000,4.3
177000,5.1,1.53,5.10e-05,16.3054,0.085409,1.6461,0.0000,4.3
178500,5.1,1.53,4.68e-05,12.6586,0.081603,2.0802,0.0000,4.3
