step,ppl,loss,lr,exp_sim,gate_ratio,grad_norm,aux_loss
200,838.0,2.72,3.00e-04,0,0,0.6355,0.654160
400,93.7,2.30,3.00e-04,0,0,0.3678,0.653589
600,43.6,2.63,3.00e-04,0,0,1.0213,0.655820
800,29.5,2.23,3.00e-04,0,0,0.1454,0.655170
1000,23.3,2.18,3.00e-04,0,0,0.2019,0.653996
1200,19.9,2.18,3.00e-04,0,0,0.1410,0.655497
1400,17.8,2.33,3.00e-04,0,0,0.2268,0.651852
1600,16.3,2.14,3.00e-04,0,0,0.1275,0.651622
1800,15.2,2.15,3.00e-04,0,0,0.1369,0.658783
